0:0:0:0:0:0:0:1 - - [19/Jun/2016:22:23:36 +0800] "GET /PersonnelTravelManagementWeb/assets/css/styles.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Jun/2016:22:23:36 +0800] "GET /PersonnelTravelManagementWeb/assets/demo/variations/default.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Jun/2016:22:23:36 +0800] "GET /PersonnelTravelManagementWeb/assets/plugins/codeprettifier/prettify.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Jun/2016:22:23:36 +0800] "GET /PersonnelTravelManagementWeb/assets/plugins/form-toggle/toggles.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Jun/2016:22:23:36 +0800] "GET /PersonnelTravelManagementWeb/assets/fonts/glyphicons/css/glyphicons.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Jun/2016:22:23:36 +0800] "GET /PersonnelTravelManagementWeb/assets/css/custom.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Jun/2016:22:23:36 +0800] "GET /PersonnelTravelManagementWeb/assets/plugins/datatables/dataTables.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Jun/2016:22:23:37 +0800] "GET /PersonnelTravelManagementWeb/assets/js/enquire.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Jun/2016:22:23:37 +0800] "GET /PersonnelTravelManagementWeb/assets/js/jquery-1.10.2.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Jun/2016:22:23:37 +0800] "GET /PersonnelTravelManagementWeb/assets/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Jun/2016:22:23:37 +0800] "GET /PersonnelTravelManagementWeb/assets/js/jqueryui-1.10.3.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Jun/2016:22:23:37 +0800] "GET /PersonnelTravelManagementWeb/assets/plugins/codeprettifier/prettify.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Jun/2016:22:23:37 +0800] "GET /PersonnelTravelManagementWeb/assets/js/jquery.nicescroll.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Jun/2016:22:23:37 +0800] "GET /PersonnelTravelManagementWeb/assets/js/jquery.cookie.js HTTP/1.1" 304 -
